	id	timeframe	start_sec	end_sec	n_obs	duration_hours	residual_ra_last_mean	residual_ra_last_std	residual_dec_last_mean	residual_dec_last_std	start_dt	end_dt	weight_ra	weight_dec	mean_weight	weight_ra_scaled	weight_dec_scaled	mean_weight_scaled
58	188_nm0083	3	-2.97888582e+08	-2.97884804e+08	2	1.04947200e+00	-2.01916551e-01	1.06447078e-01	-6.62220240e-03	5.90476890e-02	1990-07-24 17:10:18.149868	1990-07-24 18:13:16.249067	3.75476511e+12	1.22023775e+13	7.97857131e+12	2.65501987e+12	8.62838388e+12	5.64170188e+12
59	188_nm0083	4	-2.97798425e+08	-2.97794566e+08	2	1.07188800e+00	3.00547523e-01	5.67308141e-01	2.30057047e-01	2.30555156e-01	1990-07-25 18:12:54.821841	1990-07-25 19:17:13.618640	1.32194150e+11	8.00388035e+11	4.66291092e+11	9.34753796e+10	5.65959807e+11	3.29717593e+11
60	286_nm0084	0	4.34593867e+08	4.34602985e+08	142	2.53279200e+00	-2.93105592e-02	3.07621404e-02	2.50085126e-02	3.78307046e-02	2013-10-09 12:31:07.153571	2013-10-09 15:03:05.204772	4.49590541e+13	2.97277067e+13	3.73433804e+13	3.77288000e+12	2.49469373e+12	3.13378687e+12
61	286_nm0084	1	4.34680746e+08	4.34691022e+08	39	2.85444000e+00	7.77391564e-03	3.47651145e-02	2.05411028e-02	2.83135670e-02	2013-10-10 12:39:06.155174	2013-10-10 15:30:22.139174	3.52016433e+13	5.30714671e+13	4.41365552e+13	5.63677416e+12	8.49823605e+12	7.06750510e+12
62	286_nm0084	2	4.34766892e+08	4.34777505e+08	61	2.94804000e+00	-1.55214347e-02	3.52954765e-02	1.82456062e-02	3.06488528e-02	2013-10-11 12:34:52.225578	2013-10-11 15:31:45.169578	3.41516875e+13	4.52920336e+13	3.97218606e+13	4.37267552e+12	5.79905067e+12	5.08586309e+12
63	286_nm0084	3	4.65092660e+08	4.65107314e+08	134	4.07054400e+00	-2.36499163e-02	1.81467303e-02	5.14865360e-03	2.44764999e-02	2014-09-27 12:24:20.209581	2014-09-27 16:28:34.167980	1.29197318e+14	7.10152530e+13	1.00106285e+14	1.11609483e+13	6.13478348e+12	8.64786591e+12
64	286_nm0084	4	4.65177095e+08	4.65193158e+08	166	4.46193600e+00	-1.93316920e-02	2.01785664e-02	-1.68319488e-02	2.41603703e-02	2014-09-28 11:51:35.214377	2014-09-28 16:19:18.183976	1.04488778e+14	7.28858284e+13	8.86873034e+13	8.10990203e+12	5.65703740e+12	6.88346972e+12
65	286_nm0084	5	4.65354223e+08	4.65366277e+08	37	3.34833600e+00	-3.87660144e-02	2.58549704e-02	2.51975119e-03	2.23358980e-02	2014-09-30 13:03:43.163171	2014-09-30 16:24:37.172771	6.36446901e+13	8.52792612e+13	7.44619757e+13	1.04631226e+13	1.40198242e+13	1.22414734e+13
66	286_nm0084	6	5.59531559e+08	5.59547252e+08	65	4.35931200e+00	4.53906814e-03	3.59964312e-02	3.01577644e-02	1.95970764e-02	2017-09-24 13:25:58.660755	2017-09-24 17:47:32.183954	3.28345733e+13	1.10781615e+14	7.18080944e+13	4.07262758e+12	1.37407683e+13	8.90669793e+12
67	286_nm0084	7	5.59623422e+08	5.59631417e+08	8	2.22084000e+00	-1.08401247e-02	3.71926333e-02	-3.12570429e-04	2.99013668e-02	2017-09-25 14:57:02.164751	2017-09-25 17:10:17.188751	3.07564644e+13	4.75847932e+13	3.91706288e+13	1.08740523e+13	1.68237650e+13	1.38489086e+13
68	286_nm0084	8	5.59792611e+08	5.59809360e+08	61	4.65237600e+00	-1.96485519e-02	3.48093080e-02	1.54879221e-03	4.05758249e-02	2017-09-27 13:56:51.163143	2017-09-27 18:35:59.716742	3.51123169e+13	2.58413710e+13	3.04768439e+13	4.49567150e+12	3.30864851e+12	3.90216001e+12
69	286_nm0084	9	5.92280600e+08	5.92282876e+08	87	6.32160000e-01	-1.38208731e-02	2.56694665e-02	6.83880810e-03	2.62934569e-02	2018-10-08 14:23:20.318318	2018-10-08 15:01:16.094320	6.45678882e+13	6.15396314e+13	6.30537598e+13	6.92240423e+12	6.59774102e+12	6.76007263e+12
70	286_nm0084	10	6.22953637e+08	6.22959705e+08	151	1.68554400e+00	-2.11437950e-02	2.71435032e-02	1.22135024e-02	2.07470572e-02	2019-09-28 14:40:37.204721	2019-09-28 16:21:45.163120	5.77455431e+13	9.88410286e+13	7.82932858e+13	4.69926565e+12	8.04356883e+12	6.37141724e+12
71	286_nm0084	11	6.23040589e+08	6.23044064e+08	94	9.65280000e-01	-1.10974263e-02	1.57937313e-02	-2.09023099e-03	1.69225488e-02	2019-09-29 14:49:49.214317	2019-09-29 15:47:44.222317	1.70561410e+14	1.48565756e+14	1.59563583e+14	1.75920662e+13	1.53233877e+13	1.64577270e+13
72	286_nm0084	12	6.23128424e+08	6.23131933e+08	90	9.74736000e-01	3.26022084e-03	1.64585210e-02	-2.44645730e-02	2.26152726e-02	2019-09-30 15:13:44.145516	2019-09-30 16:12:13.195114	1.57061107e+14	8.31853048e+13	1.20123206e+14	1.65556943e+13	8.76850104e+12	1.26620977e+13
73	286_nm0091	0	6.56820060e+08	6.56830589e+08	96	2.92473600e+00	-5.81359571e-03	2.09014488e-02	-3.48479446e-03	2.41116745e-02	2020-10-24 14:01:00.168002	2020-10-24 16:56:29.217603	9.73862150e+13	7.31805249e+13	8.52833700e+13	9.93943895e+12	7.46895605e+12	8.70419750e+12
74	286_nm0091	1	6.58543361e+08	6.58551625e+08	138	2.29540800e+00	-1.20985510e-02	2.25787585e-02	-9.56164829e-03	2.03226469e-02	2020-11-13 12:42:41.217878	2020-11-13 15:00:24.686680	8.34545749e+13	1.03012452e+14	9.32335132e+13	7.10412519e+12	8.76900221e+12	7.93656370e+12
75	286_nm0091	2	6.58630374e+08	6.58638117e+08	142	2.15083200e+00	2.78413885e-03	1.80953209e-02	-2.06506369e-02	2.81640861e-02	2020-11-14 12:52:53.707497	2020-11-14 15:01:56.702699	1.29932468e+14	5.36363158e+13	9.17843919e+13	1.09036905e+13	4.50105964e+12	7.70237506e+12
76	286_nm0091	3	6.58712818e+08	6.58721606e+08	72	2.44111200e+00	-5.21631564e-03	1.94518194e-02	-9.67759961e-02	2.62671970e-02	2020-11-15 11:46:57.710717	2020-11-15 14:13:25.713918	1.12442323e+14	6.16627377e+13	8.70525303e+13	1.32514548e+13	7.26702332e+12	1.02592391e+13
77	286_nm0091	4	6.58799167e+08	6.58810758e+08	104	3.21972000e+00	-1.10238815e-02	3.37215106e-02	-3.02637590e-02	2.79346635e-02	2020-11-16 11:46:06.648335	2020-11-16 14:59:17.640339	3.74141793e+13	5.45209455e+13	4.59675624e+13	3.66876213e+12	5.34621856e+12	4.50749034e+12
78	286_nm0091	5	6.58886904e+08	6.58896166e+08	150	2.57277600e+00	-2.06666055e-02	1.73334865e-02	4.49235501e-04	1.98745106e-02	2020-11-17 12:08:23.688356	2020-11-17 14:42:45.681959	1.41604942e+14	1.07710335e+14	1.24657639e+14	1.15619951e+13	8.79451206e+12	1.01782536e+13
79	286_nm0091	6	6.58973664e+08	6.58980059e+08	106	1.77638400e+00	-1.99347803e-02	1.62841226e-02	7.54794088e-03	1.78862265e-02	2020-11-18 12:14:23.717176	2020-11-18 14:00:58.699577	1.60443284e+14	1.32988110e+14	1.46715697e+14	1.55836293e+13	1.29169471e+13	1.42502882e+13
80	286_nm0091	7	6.91117386e+08	6.91127082e+08	112	2.69347200e+00	7.65409855e-03	1.47128716e-02	-2.00626128e-02	1.88491167e-02	2021-11-25 13:03:05.678917	2021-11-25 15:44:42.178118	1.96542002e+14	1.19747998e+14	1.58145000e+14	1.85714735e+13	1.13151222e+13	1.49432979e+13
